Please note: You can only download a maximum of 500 vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No,Location,Event date,Event type,Simulcast vehicle?,Manufacturer,Model,Derivative,Reg Date,Reg No.,Engine,Body,Colour (Trim),Odometer,Odometer unit,Odometer warranted,Fuel,Trans,VAT,V5,Vehicle Grade,MOT Expiry,Number of Keepers,Services,Date of last Service (odometer),Vendor,Buy Now Price,CAP Clean,CAP Average,MMP,MMP Av.,MMP Av.,Glass Trade,Specification
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,3.0 SDV6 255 HSE 5DR AUTO,15/03/2012,AF12RXP,3.0L,5 Door STATION WA,SILVER(Black),"80,305",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",2,25/03/2017,1,,,Marshall Motor Group,"œ22,750","œ22,150","œ21,300",?,?,?,"œ21,250","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Bluetooth, Cruise Control, DAB, Electric Sun Roof, Front Parking Sensors, Heated Front Screen, Heated Seats, Leather Trim, Panoramic Roof, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Dual Zone Climate, Traction Control"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E250 CDI BLUEEFFICIENCY SPORT,28/03/2011,HV11XKZ,2.1L,5 Door ESTATE,SILVER(BLACK),"97,944",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,23/03/2017,2,5,16/11/2015,Marshall Motor Group,"œ9,500","œ10,400","œ9,750",?,?,?,"œ9,600","Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Radio CD, Rear Parking Sensors, Traction Control"
413,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,530D SE 4DR AUTO,24/03/2004,BN04UBK,3.0L,4 Door SALOON,BLUE,"81,289",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",,11/11/2017,3,4,15/09/2016,,-,"œ2,875","œ2,575",?,?,?,"œ2,825",
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D M SPORT 2DR STEP AUTO,01/01/2009,YF58OAE,2.0L,2 Door CONVERTIBL,SILVER(BLACK),"56,709",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,10/03/2017,5,,,Sinclair Group,"œ8,000","œ8,775","œ8,250",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Electric Sun Roof, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D SE 5DR,06/11/2012,RE62CHZ,2.0L,5 Door ESTATE,BLUE(BLACK),"104,137",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",2,05/11/2017,1,,,Hitachi Capital,"œ9,000","œ9,000","œ8,450",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Media Connectivity, Radio CD, Rear Parking Sensors, Traction Control"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 BLUEMOTION TECH SP,10/01/2012,PK61OSA,1.6L,5 Door ESTATE,WHITE(BLACK),"105,709",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",3,13/01/2017,1,5,23/03/2016,Hitachi Capital,"œ4,400","œ4,750","œ4,400",?,?,?,?,"Air Conditioning, Automatic Lights, Cruise Control, Radio CD, Traction Control"
,Shepshed,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,NISSAN,NAVARA DIESEL,DOUBLE CAB PICK UP AVENTURA 2.,07/07/2008,MH08EYM,2.5L,4 Door PICK UP BODY,BLUE(GREY),"76,354",Miles,w,Diesel,Automatic,Commercial,No,,,6,,,MotoNovo Finance,"œ5,900","œ7,825","œ6,625",?,?,?,?,"Airbag - Driver, Air Conditioning, Automatic Lights, Automatic Wipers, Alloy Wheels, Bluetooth, Cruise Control, Electric Mirrors, Electric Windows, Heated Seats, Airbag - Passenger, Privacy Glass, Parking sensors - Rear, Pick up - body load cover, Roof Rack, Satnav, Sunroof"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,ISUZU,RODEO DIESEL,2.5TD DENVER MAX LE DOUBLE CAB,12/10/2007,CE57OFS,2.5L,PICK UP BODY,SILVER(BLACK),"90,008",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,,3,,,Hendy Group,"œ6,000","œ6,875","œ5,725",?,?,?,?,"Seats - 3 point belts, Airbag - Driver, Air Conditioning, Bluetooth, Electric Mirrors, Electric Windows, Airbag - Passenger, Satnav"
4011,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI BLUEEFFICIENCY AMG SP,27/09/2013,NJ63PBV,2.1L,4 Door SALOON,MAGNETITE BLACK METALLIC(BLACK),"66,611",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",2,,1,3,08/01/2016,Mercedes-Benz UK Ltd,-,"œ11,400","œ10,850",?,?,?,?,"6 Speed, Air Conditioning, Radio CD, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Media Connectivity, Rear Parking Sensors, Traction Control"
,Mansfield,02/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI GT 5DR DSG,13/05/2013,KM13TNX,2.0L,5 Door HATCHBACK,BLACK(Black),"67,955",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,12/05/2017,3,4,19/04/2016,Pentagon Group,"œ9,800","œ10,200","œ9,575",?,?,?,"œ9,575","Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Front Parking Sensors, Radio CD, Rear Parking Sensors, Sat Nav Inoperative, Traction Control"
2509,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I SE 2DR,29/01/2011,AJ60KEK,2.0L,2 Door CONVERTIBL,BRONZE(BLACK),"74,331",Miles,,Petrol,Manual,Margin,No,5,,2,,,Link Financial LTD,-,"œ8,075","œ7,550",?,?,?,"œ8,000","6 Speed, Air Conditioning, Aux In, Bluetooth, Cruise Control, DAB, Front Parking Sensors, Heated Seats, Ipod Connectivity, Leather Trim, Media Connectivity, Privacy Glass, Radio CD"
475,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,2.7 TD V6 SE 5DR AUTO,30/03/2007,S55EHD,2.7L,5 Door STATION WA,BLACK(BLACK),"98,230",Miles,,Diesel,Automatic,Margin,"Yes, with Manheim",4,06/06/2017,1,10,07/06/2016,The Car Group,-,"œ8,775","œ8,225",?,?,?,?,"7 Seats, Air Conditioning, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Seats, Leather Trim, Radio CD, Sat Nav Functioning"
1112,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,520D SE 4DR STEP AUTO [177],23/04/2011,OV58KTF,2.0L,4 Door SALOON,SILVER(BLACK),"51,504",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,23/04/2017,1,4,10/11/2015,Sandown Mercedes-Benz,-,"œ6,050","œ5,600","œ7,200",3,"79,750",?,"Air Conditioning, Front Parking Sensors, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
,Colchester,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C200 CDI BLUEEFFICIENCY SE EDI,06/12/2011,OV61NDE,2.1L,5 Door ESTATE,BLACK(BLACK),"123,048",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",5,,2,7,22/04/2016,ALD Automotive,"œ6,400","œ6,875","œ6,425",?,?,?,?,"Air Conditioning, Automatic Lights, Cruise Control, Front Parking Sensors, Radio CD, Rear Parking Sensors, Sat Nav Functioning, 6 Speed"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,5 SERIES,520D EFFICIENTDYNAMICS 4DR,07/09/2012,VO62BVZ,2.0L,4 Door SALOON,BLUE(GREY),"121,803",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",4,,1,6,15/07/2016,Hitachi Capital,"œ8,700","œ8,875","œ8,300",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Heated Seats, Leather Trim, Radio CD, Sat Nav Functioning, Traction Control, 6 Speed"
1202,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI 143 S LINE 4DR MTRONIC,11/11/2008,KP58UAS,2.0L,4 Door SALOON,BLACK(BLACK),"76,566",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",5,15/12/2016,6,2,24/05/2012,The Car Group,-,"œ7,125","œ6,650",?,?,?,"œ6,525","Air Conditioning, Automatic Lights, Aux In, Cruise Control, Radio CD, Traction Control, Leather Trim, Bluetooth"
1403,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.9 S TDI 5DR [AC],29/06/2006,WP06VKZ,1.9L,5 Door HATCHBACK,BLACK,"114,823",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",3,19/08/2017,4,7,28/09/2013,,-,"œ1,600","œ1,400",?,?,?,?,"Air Conditioning, DAB, Privacy Glass, Radio CD, Traction Control"
4122,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI BLUEEFFICIENCY AMG SP,30/08/2013,FW13GPO,2.1L,4 Door SALOON,OBSIDIAN BLACK METALLIC(BLACK),"47,809",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",4,,1,,,Mercedes-Benz UK Ltd,-,"œ12,250","œ11,550",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, DAB, Dual Zone Climate, Media Connectivity, Radio CD, Sat Nav Functioning, Traction Control"
,Colchester,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDIE 136 SE 5DR [START STO,15/09/2011,EO61HLK,2.0L,5 Door ESTATE,RED(GREY),"130,211",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",4,15/09/2017,2,7,01/05/2016,ALD Automotive,"œ5,500","œ5,775","œ5,400",?,?,?,?,"6 Speed, Air Conditioning, Bluetooth, Dual Zone Climate, Radio CD"
1197,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER SPORT,2.7 TDV6 HSE 5DR AUTO,14/12/2006,LB56EKL,2.7L,5 Door ESTATE,BLACK(CREAM),"96,188",Miles,,Diesel,Automatic,Margin,"Yes, with Manheim",2,23/08/2017,7,6,20/03/2014,The Car Group,-,"œ9,650","œ9,050",?,?,?,?,"Leather Trim, Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Front Parking Sensors, Radio CD, Rear Parking Sensors"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 SE 5DR,05/09/2014,WA64RHV,1.6L,5 Door HATCHBACK,BLACK(BLACK),"48,564",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,,1,4,29/06/2016,Marshall Motor Group,"œ8,500","œ9,475","œ8,925",?,?,?,?,"Air Conditioning, Automatic Lights, Cruise Control, Radio CD, Rear Parking Sensors"
1113,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,LEXUS,CT,200H 1.8 LUXURY 5DR CVT AUTO,02/03/2015,AE15NFA,1.8L,5 Door HATCHBACK,BLUE(BLACK),"94,662",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",,,1,9,24/09/2016,,-,"œ10,100","œ9,500",?,?,?,"œ10,075","Air Conditioning, Automatic Lights, Automatic Wipers, Aux In, Leather Trim, Radio CD"
1405,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.9 SE TDI 100 5DR,02/10/2002,CE52JNU,1.9L,5 Door HATCHBACK,SILVER(BEIGE),"133,584",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,,2,1,20/01/2004,,-,œ570,œ400,?,?,?,?,"Air Conditioning, DAB, Privacy Glass, Radio CD"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C200 CDI BLUEEFFICIENCY EXECUT,09/03/2011,MK11MGY,2.1L,4 Door SALOON,SILVER(BLACK),"62,596",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",5,24/07/2017,2,,,The Car Group,"œ7,300","œ8,775","œ8,275",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Radio CD, Rear Parking Sensors"
1122,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,2.0 VTEC TYPE R GT 3DR,01/09/2010,AV60ASX,2.0L,3 Door HATCHBACK,BLACK(Grey),"49,312",Miles,,Petrol,Manual,Margin,"Yes, with Manheim",5,18/12/2016,4,,,,-,"œ7,475","œ7,000",?,?,?,?,"6 Speed, Air Conditioning, Cruise Control, Radio CD"
431,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.2 DTEC EX 5DR,26/01/2011,WG60SKD,2.2L,5 Door ESTATE,SILVER(Black),"157,197",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",5,26/01/2017,1,11,09/10/2015,Pentagon Group,-,"œ5,225","œ4,850",?,?,?,"œ5,000","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Sunroof, Traction Control"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI 143 5DR MTRONIC,05/07/2011,FT11YMX,2.0L,5 Door ESTATE,BLUE(Black),"73,343",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,27/05/2017,2,6,16/08/2016,Marshall Motor Group,"œ7,000","œ7,175","œ6,725",?,?,?,?,"Air Conditioning, Auto Climate Control, Dual Zone Climate, Radio CD"
484,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,RAV 4,2.0 VVTI XT3 5DR,28/05/2007,CK07XTU,2.0L,5 Door ESTATE,SILVER(BLACK),"92,194",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",Unclassified,21/11/2016,4,5,29/10/2015,Arnold Clark,-,"œ3,275","œ2,975",?,?,?,?,"Air Conditioning, Radio CD"
506,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,TOUAREG,3.0 V6 TDI 240 ALTITUDE 5DR TI,27/04/2011,DN11XEK,3.0L,5 Door ESTATE,BLACK(BLACK),"103,343",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,11/03/2017,2,3,10/09/2013,Arnold Clark,-,"œ14,500","œ13,800",?,?,?,"œ12,350","Air Conditioning, Auto Climate Control, Aux In, Bluetooth, Cruise Control, DAB, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER SPORT,2.7 TDV6 HSE 5DR AUTO,06/02/2007,M11EHG,2.7L,5 Door ESTATE,BLACK(BLACK),"80,811",Miles,,Diesel,Automatic,Margin,"Yes, with Manheim",4,02/07/2017,7,,,Marshall Motor Group,"œ10,000","œ10,500","œ9,875",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Front Screen, Radio CD, Rear Seat Entertainment, Sat Nav Inoperative"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER SPORT,2.7 TDV6 HSE 5DR AUTO,01/03/2008,X24JJH,2.7L,5 Door ESTATE,GREY(BLACK),"142,062",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",3,,3,10,03/05/2016,Marshall Motor Group,"œ8,500","œ9,175","œ8,600",?,?,?,"œ7,850","Automatic Lights, Automatic Wipers, Cruise Control, Front Parking Sensors, Heated Front Screen, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
346,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,RAV 4,2.0 D-4D XT-R 3DR,30/12/2005,NG55ZTW,2.0L,3 Door ESTATE,GREY(BLACK),"134,802",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,20/11/2016,4,8,29/09/2011,Lookers Group,-,"œ1,575","œ1,375",?,?,?,?,"Air Conditioning, Auto Climate Control, Cruise Control, Electric Sun Roof, Radio CD"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI 143 SE TECHNIK 4DR,03/09/2012,VU62JLX,2.0L,4 Door SALOON,RED(BLACK),"90,998",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",4,,1,4,09/08/2016,Hitachi Capital,"œ9,300","œ9,500","œ8,925",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, Dual Zone Climate, Heated Seats, Leather Trim, Radio CD, Sat Nav Functioning"
364,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 TDI BLUEMOTION TECH SE 4DR,10/03/2011,PX11WNB,2.0L,4 Door SALOON,SILVER(Black),"102,157",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,31/01/2017,2,9,24/10/2016,Lookers Group,-,"œ5,350","œ4,975","œ6,760",5,"90,643",?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Ipod Connectivity, Media Connectivity, Privacy Glass, Radio CD, Traction Control, Aux In, Bluetooth"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 TDI BLUEMOTION TECH SPORT,29/12/2011,WG61JEU,2.0L,5 Door ESTATE,BLACK(GREY),"77,044",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",4,,2,3,18/10/2015,Hitachi Capital,"œ7,300","œ7,600","œ7,125",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Media Connectivity, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI MEDIUM DIESEL,3.5T CHASSIS CAB,21/10/2013,KV63TYB,2.1L,2 Door DROPSIDE BODY,WHITE(GREY),"110,385",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,20/10/2017,1,4,03/03/2016,Vanmonster,"œ7,800","œ10,350","œ9,575",?,?,?,?,"Airbag - Driver, Seats - Fabric/All"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T HIGH ROOF VAN,17/08/2014,KO14LTZ,2.1L,5 Door PANEL VAN,WHITE(GREY),"63,794",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,,1,2,31/08/2016,Vanmonster,"œ10,400","œ11,400","œ10,750",?,?,?,?,"Airbag - Driver, Door - Double Rear Barn, Door - Nearside Sliding Loading Door"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI BLUEEFFICIENCY AMG SP,17/08/2012,BL12YRJ,2.1L,5 Door ESTATE,POLAR WHITE(BLACK),"90,108",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",3,,1,5,29/04/2016,ALD Automotive,"œ10,750","œ9,675","œ9,075",?,?,?,"œ8,625","6 Speed, Air Conditioning, Front Parking Sensors, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI GT 5DR,03/09/2013,VX63AAV,2.0L,5 Door HATCHBACK,URANO GREY(BLACK),"89,093",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",3,,1,4,12/04/2016,ALD Automotive,"œ9,050","œ9,050","œ8,500",?,?,?,?,"Air Conditioning, Radio CD"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI 150 SE 4DR MTRONIC,23/09/2013,EX63EDL,2.0L,4 Door SALOON,BLUE(GREY),"47,445",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",1,22/09/2017,1,2,16/05/2016,Marshall Leasing,"œ11,250","œ11,450","œ10,850",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Radio CD, Rear Parking Sensors, Traction Control"
418,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,AVENSIS,2.0 D-4D TR NAV 5DR,30/09/2011,FE61YRP,2.0L,5 Door ESTATE,SILVER(BLACK),"72,221",Miles,,Diesel,Manual,Qualifying,"Yes, with Manheim",4,30/09/2017,1,7,25/05/2016,NULL,-,"œ5,875","œ5,475",?,?,?,"œ5,400","6 Speed, Air Conditioning, Auto Climate Control, Cruise Control, Dual Zone Climate, Heated Seats, Privacy Glass, Radio CD, Sat Nav Functioning, Traction Control"
